지점,지점명,일시,평균기온(°C),최고기온(°C),평균상대습도(%)
98,동두천,2020-07,23,32.2,85
98,동두천,2020-08,25.3,35,93
98,동두천,2020-09,19.5,30.1,83
98,동두천,2020-10,12,24.8,72
98,동두천,2020-11,6.3,19.7,70
98,동두천,2020-12,-2.2,10.9,64
98,동두천,2021-01,-4.2,15,64
98,동두천,2021-02,1.3,19.2,60
98,동두천,2021-03,7.7,23.9,68
98,동두천,2021-04,13,29.1,60
98,동두천,2021-05,15.8,29.9,77
98,동두천,2021-06,21.3,30.8,83
98,동두천,2021-07,26.4,35.7,83
98,동두천,2021-08,24.3,32.6,85
98,동두천,2021-09,20.8,29.6,82
98,동두천,2021-10,13.7,28.2,80
98,동두천,2021-11,6.4,22.2,73
98,동두천,2021-12,-1.1,12.8,66
98,동두천,2022-01,-3.9,7.8,60
98,동두천,2022-02,-2.6,11.6,56
98,동두천,2022-03,6.4,20.8,64
98,동두천,2022-04,13.6,30.3,56
98,동두천,2022-05,17.4,30.4,60
98,동두천,2022-06,21.5,31.9,81
98,동두천,2022-07,25.8,35.4,85
98,동두천,2022-08,24.2,31.7,88
98,동두천,2022-09,20,30.8,79
98,동두천,2022-10,12.3,26.8,78
98,동두천,2022-11,8,22.4,72
98,동두천,2022-12,-4.9,10.1,64
98,동두천,2023-01,-3.7,13.2,70
98,동두천,2023-02,.6,12.9,61
98,동두천,2023-03,8.3,26.4,51
98,동두천,2023-04,12.7,28.7,59
98,동두천,2023-05,18,30.8,68
98,동두천,2023-06,22,33,79
98,동두천,2023-07,25.6,33.5,87
98,동두천,2023-08,25.6,34.3,87
98,동두천,2023-09,21.8,32,84
98,동두천,2023-10,13.6,23.6,77
98,동두천,2023-11,5.4,25.7,68
98,동두천,2023-12,-.5,16.3,72
98,동두천,2024-01,-2.1,10.3,69
98,동두천,2024-02,2.4,18.9,76
98,동두천,2024-03,5.7,23.6,57
98,동두천,2024-04,15.2,30.4,59
98,동두천,2024-05,17.2,28.8,73
98,동두천,2024-06,23,35.2,71
98,동두천,2024-07,25.6,32.8,91
98,동두천,2024-08,27.6,35.2,87
99,파주,2020-06,22,34.4,80
99,파주,2020-07,22.7,30.7,86
99,파주,2020-08,25.2,34.2,93
99,파주,2020-09,19.3,30.5,84
99,파주,2020-10,11.2,24.2,76
99,파주,2020-11,5.4,19.8,75
99,파주,2020-12,-3.3,10.6,69
99,파주,2021-01,-5.1,13.4,65
99,파주,2021-02,.5,16.8,64
99,파주,2021-03,6.7,22,73
99,파주,2021-04,12.2,26.7,65
99,파주,2021-05,15.5,29.4,79
99,파주,2021-06,21.1,30.2,85
99,파주,2021-07,26.1,35.1,85
99,파주,2021-08,24.1,33,84
99,파주,2021-09,20.6,29.5,83
99,파주,2021-10,13,27.3,82
99,파주,2021-11,5.5,21.8,79
99,파주,2021-12,-1.9,12.3,71
99,파주,2022-01,-5.2,7.5,66
99,파주,2022-02,-3.6,11.1,63
99,파주,2022-03,5.3,19.4,70
99,파주,2022-04,12.4,28.2,65
99,파주,2022-05,16.4,29.1,69
99,파주,2022-06,21.2,30.7,84
99,파주,2022-07,25.4,34.2,89
99,파주,2022-08,24.1,32,90
99,파주,2022-09,19.5,30.7,84
99,파주,2022-10,11.6,25.3,82
99,파주,2022-11,7.1,22.3,78
99,파주,2022-12,-5.8,9.1,70
99,파주,2023-01,-4.5,11.6,73
99,파주,2023-02,-.4,11,68
99,파주,2023-03,6.8,23.7,62
99,파주,2023-04,11.8,27.2,68
99,파주,2023-05,17.2,29.6,76
99,파주,2023-06,21.5,32.3,85
99,파주,2023-07,25.2,33.3,91
99,파주,2023-08,25.2,33.4,90
99,파주,2023-09,21.6,32,88
99,파주,2023-10,12.9,24,83
99,파주,2023-11,4.7,24.8,75
99,파주,2023-12,-1.1,15.6,77
99,파주,2024-01,-2.9,9.3,75
99,파주,2024-02,1.6,16.2,80
99,파주,2024-03,4.7,23.1,66
99,파주,2024-04,14,27.8,69
99,파주,2024-05,16.3,27.4,79
99,파주,2024-06,22.2,34,77
99,파주,2024-07,25.3,33.2,91
99,파주,2024-08,27.4,35.4,87
100,대관령,2020-06,18.7,31.6,80
100,대관령,2020-07,17.9,28.7,91
100,대관령,2020-08,22.2,30.8,91
100,대관령,2020-09,14.7,26.3,89
100,대관령,2020-10,7.9,19.7,79
100,대관령,2020-11,3.4,18.3,68
100,대관령,2020-12,-5.4,8,63
100,대관령,2021-01,-7.3,7.6,64
100,대관령,2021-02,-2,15.6,60
100,대관령,2021-03,3,16.1,71
100,대관령,2021-04,7.5,20.9,65
100,대관령,2021-05,11.8,25.2,73
100,대관령,2021-06,16.8,27.8,84
100,대관령,2021-07,21.4,30.1,88
100,대관령,2021-08,19.6,30.6,91
100,대관령,2021-09,15.7,25.5,91
100,대관령,2021-10,9.7,26.1,82
100,대관령,2021-11,2.7,15.1,72
100,대관령,2021-12,-3.9,9,67
100,대관령,2022-01,-6.9,3.5,62
100,대관령,2022-02,-6.4,8.6,56
100,대관령,2022-03,2.2,15.4,68
100,대관령,2022-04,9.2,24.2,58
100,대관령,2022-05,13.4,28.5,59
100,대관령,2022-06,17.2,30.3,83
100,대관령,2022-07,21.3,30,85
100,대관령,2022-08,20.6,29.5,87
100,대관령,2022-09,15.2,28.2,85
100,대관령,2022-10,8.2,25.5,83
100,대관령,2022-11,4.5,18.8,66
100,대관령,2022-12,-7.8,4.5,57
100,대관령,2023-01,-6.3,11.2,60
100,대관령,2023-02,-3.2,10.1,65
100,대관령,2023-03,4.4,20.3,59
100,대관령,2023-04,8.1,20.9,65
100,대관령,2023-05,13.5,27.8,71
100,대관령,2023-06,17.9,29.7,81
100,대관령,2023-07,21.9,31.6,87
100,대관령,2023-08,21.4,31.8,88
100,대관령,2023-09,17,26.5,89
100,대관령,2023-10,9,19.5,79
100,대관령,2023-11,2.7,21.6,65
100,대관령,2023-12,-4.1,12.8,75
100,대관령,2024-01,-5.7,6.5,73
100,대관령,2024-02,-2.9,12.3,86
100,대관령,2024-03,.4,15.3,65
100,대관령,2024-04,9.6,26.1,70
100,대관령,2024-05,13.2,27.4,66
100,대관령,2024-06,18.6,30.6,72
100,대관령,2024-07,22,30.8,86
100,대관령,2024-08,22.8,31.3,85
101,춘천,2020-06,24.2,36.4,67
101,춘천,2020-07,23.8,33,76
101,춘천,2020-08,26.1,34.6,84
101,춘천,2020-09,19.7,30.8,78
101,춘천,2020-10,11.9,24.3,73
101,춘천,2020-11,6.1,19.5,68
101,춘천,2020-12,-2.7,10.5,65
101,춘천,2021-01,-4.7,12.6,65
101,춘천,2021-02,1.2,19.9,57
101,춘천,2021-03,7.8,23.5,63
101,춘천,2021-04,13.1,29.2,57
101,춘천,2021-05,16.4,31.2,70
101,춘천,2021-06,22.3,33,74
101,춘천,2021-07,27.3,36.6,76
101,춘천,2021-08,24.9,34.3,79
101,춘천,2021-09,21.3,30.1,76
101,춘천,2021-10,14,28.5,80
101,춘천,2021-11,6.3,20.6,70
101,춘천,2021-12,-1.2,11.5,68
101,춘천,2022-01,-4.2,9,64
101,춘천,2022-02,-2.4,11.9,53
101,춘천,2022-03,6.6,19.3,62
101,춘천,2022-04,14,30,52
101,춘천,2022-05,18.1,31.2,57
101,춘천,2022-06,22.6,34.8,74
101,춘천,2022-07,26.6,35.3,84
101,춘천,2022-08,25.2,33.3,87
101,춘천,2022-09,20.5,31.2,81
101,춘천,2022-10,12.7,26.3,80
101,춘천,2022-11,7.5,21.4,74
101,춘천,2022-12,-4.9,9.4,67
101,춘천,2023-01,-4.1,9.1,71
101,춘천,2023-02,.3,12.9,62
101,춘천,2023-03,8,24.9,51
101,춘천,2023-04,12.5,27.3,58
101,춘천,2023-05,18,30.7,62
101,춘천,2023-06,22.5,33.3,70
101,춘천,2023-07,25.9,34.4,79
101,춘천,2023-08,26,34.9,77
101,춘천,2023-09,21.9,32.2,78
101,춘천,2023-10,12.9,23.4,78
101,춘천,2023-11,5.2,25.5,66
101,춘천,2023-12,-.8,16.4,72
101,춘천,2024-01,-2.1,11,68
101,춘천,2024-02,2.1,17.3,72
