시도,연도,월,사용량(kWh),전기요금(원),평균단가(원/kWh)
43,2020,07,188051687,18749068359,99.7
43,2020,08,219376445,21515761535,98.1
43,2021,06,186034234,19043627301,102.4
43,2021,07,204376598,21054672338,103.0
43,2021,08,279496695,32448174316,116.1
43,2022,06,183746797,21537281261,117.2
43,2022,07,230154076,28939500797,125.7
43,2022,08,272038980,34234749222,125.8
43,2023,06,187575161,28543907013,152.2
43,2023,07,217655270,33105785916,152.1
43,2023,08,283069920,44635415831,157.7
43,2024,06,190021648,29918943941,157.5
43,2024,07,221643230,34036497285,153.6
43,2024,08,312692609,51402400140,164.4
44,2020,06,242443630,25306885211,104.4
44,2020,07,249765943,24566268081,98.4
44,2020,08,295241629,29069937227,98.5
44,2021,06,248108099,25305746009,102.0
44,2021,07,274470246,28331024131,103.2
44,2021,08,375503240,43664173081,116.3
44,2022,06,246677454,28900138534,117.2
44,2022,07,303277201,37997819421,125.3
44,2022,08,364744984,46249791086,126.8
44,2023,06,255307375,38852468124,152.2
44,2023,07,294892210,45017162489,152.7
44,2023,08,385506396,61329650730,159.1
44,2024,06,260123212,40968251581,157.5
44,2024,07,306274773,47351451663,154.6
44,2024,08,428477124,70908618578,165.5
46,2020,06,199355905,21257597472,106.6
46,2020,07,203240437,19803095561,97.4
46,2020,08,256763594,26521541151,103.3
46,2021,06,201791367,21147197743,104.8
46,2021,07,226306192,23517554134,103.9
46,2021,08,293187264,33387714304,113.9
46,2022,06,200698167,24018261012,119.7
46,2022,07,245876555,30861064070,125.5
46,2022,08,294308655,37482958240,127.4
46,2023,06,204801724,31643823577,154.5
46,2023,07,233597035,35226275839,150.8
46,2023,08,305756157,48637516943,159.1
46,2024,06,203162056,33057155950,162.7
46,2024,07,242062674,37446378242,154.7
46,2024,08,337069534,56561677105,167.8
47,2020,06,292201180,30119497675,103.1
47,2020,07,295003889,27924361397,94.7
47,2020,08,359902718,35200597688,97.8
47,2021,06,293090539,28967443669,98.8
47,2021,07,320797870,31324072701,97.6
47,2021,08,415939216,44860925338,107.9
47,2022,06,294272536,33613655128,114.2
47,2022,07,368483326,45404943523,123.2
47,2022,08,414921781,50184385384,120.9
47,2023,06,292261778,43336760871,148.3
47,2023,07,333999375,49134954403,147.1
47,2023,08,430150244,65939692814,153.3
47,2024,06,296151334,45522208462,153.7
47,2024,07,352583400,53334219668,151.3
47,2024,08,482506019,78396265661,162.5
48,2020,06,375060889,39374138180,105.0
48,2020,07,386679799,37387219937,96.7
48,2020,08,491293554,51688011809,105.2
48,2021,06,376957717,38371173955,101.8
48,2021,07,433513289,44688454243,103.1
48,2021,08,558062475,63510089900,113.8
48,2022,06,375588980,43476531568,115.8
48,2022,07,471276271,58523081041,124.2
48,2022,08,562987365,71801319513,127.5
48,2023,06,379965847,56681785161,149.2
48,2023,07,441225028,65585546181,148.6
48,2023,08,580035417,92060520908,158.7
48,2024,06,380918827,58400944137,153.3
48,2024,07,467226473,71067600004,152.1
48,2024,08,646839312,108363712721,167.5
50,2020,06,70133551,7685911947,109.6
50,2020,07,75463993,7853560096,104.1
50,2020,08,105198457,12848763688,122.1
50,2021,06,73588244,8069438945,109.7
50,2021,07,90244638,10408518919,115.3
50,2021,08,115842299,14691906977,126.8
50,2022,06,73214715,8945071332,122.2
50,2022,07,101848202,14249778790,139.9
50,2022,08,127656701,19012141168,148.9
50,2023,06,76207617,12020900556,157.7
50,2023,07,96767039,15762543842,162.9
50,2023,08,128358961,22670919103,176.6
50,2024,06,75032978,12143724321,161.8
50,2024,07,101662335,16930220593,166.5
50,2024,08,145654551,27401248940,188.1
51,2020,06,176739469,18495377497,104.6
51,2020,07,177874072,17241347868,96.9
51,2020,08,204423371,19190822652,93.9
51,2021,06,179556200,18124201742,100.9
51,2021,07,191086604,18920818251,99.0
51,2021,08,253976656,27849850927,109.7
51,2022,06,179973628,20735885356,115.2
51,2022,07,211041940,25363555344,120.2
51,2022,08,245925321,29404307471,119.6
51,2023,06,181052165,27256580772,150.5
51,2023,07,203259431,30216209344,148.7
51,2023,08,256804933,39098355354,152.2
51,2024,06,182229175,28342905610,155.5
51,2024,07,208017594,31507453305,151.5
51,2024,08,283194488,45178575215,159.5
52,2020,06,200459152,21112829808,105.3
52,2020,07,202455410,19566336319,96.6
52,2020,08,244344103,23734920502,97.1
52,2021,06,201734506,20640367176,102.3
52,2021,07,220696722,22284723414,101.0
52,2021,08,293096179,32710227833,111.6
52,2022,06,197973878,23142026386,116.9
52,2022,07,239549265,29308450590,122.3
52,2022,08,285972166,34881439120,122.0
52,2023,06,200318181,30190967232,150.7
52,2023,07,225727573,33492153041,148.4
52,2023,08,296653089,45779794887,154.3
52,2024,06,199404330,31493985152,157.9
52,2024,07,230575911,34748235599,150.7
52,2024,08,324683275,52599373330,162.0
